ID	POS	ENTRATA	NUMERO	GENERE	traduzione1	traduzione2	traduzione3	traduzione4	traduzione5	traduzione6	traduzione7	traduzione8	traduzione9	variant1	variant2	variant3	variant4	variant5	variant6	variant7	variant8	variant9	variant10	variant11	variant12	variant13	variant14	variant15	variant16
11531	NOUN	gurgu	s	m	gorgo																								
11532	ADJ	lucenti	s	m	lucente																								
11533	NOUN	manata	s	f	manipolo																								
11534	NOUN	mareggiu	s	m	mareggio																								
11535	NOUN	mariggiata	s	f	mareggiata																								
11536	VERB	prisintari			presentare									apprisintari															
11537	VERB	prumèttiri			promettere									prumittiri															
11538	VERB	prumittìri			promettere									prumèttiri															
11539	VERB	prumòviri			promuovere																								
11540	VERB	prupòniri			proporre																								
11541	VERB	castijari			punire	castigare								castigari	castiari														
11542	VERB	castigari			punire	castigare								castijari	castiari														
11543	VERB	castiari			punire	castigare								castigari	castijari														
11544	VERB	arricurdari			rammentare	ricordare								ricurdari															
11545	VERB	ricurdari			rammentare	ricordare								arricurdari															
11546	VERB	ricitari			recitare																								
11547	VERB	ricumpinzari			ricompensare									ricumpinsari															
11548	VERB	ricumpinsari			ricompensare									ricumpinzari															
11549	VERB	rinèsciri			riuscire	riescire								arrinèsciri	arrinisciri	rinisciri													
11550	VERB	arrinèsciri			riuscire	riescire								rinèsciri	arrinisciri	rinisciri													
11551	VERB	riniscìri			riuscire	riescire								arrinèsciri	arrinisciri	rinèsciri													
11552	VERB	arriniscìri			riuscire	riescire								arrinèsciri	rinisciri	rinèsciri													
11553	VERB	rimpruvirari			rimproverare																								
11554	VERB	arrusicari			rosicare	rosicchiare	rodere																						
11555	VERB	vaviari			salivare	sbavare								baviari															
11556	VERB	santari			saltare									savutari	sautari	satari													
11557	VERB	nzanguniari			sanguinare									nzancuniari	nsanguniari	nsancuniari													
11558	VERB	nsancuniari			sanguinare									nzancuniari	nzanguniari	nsanguniari													
11559	VERB	nzancuniari			sanguinare									nzanguniari	nsanguniari	nsancuniari													
11560	VERB	ngannari			ingannare																								
11561	VERB	cauriari			scaldare	riscaldare								quadiari	calliari	cavuriari	caudiari	caviriari											
11562	VERB	cavuriari			scaldare	riscaldare								quadiari	calliari	cauriari	caudiari	caviriari											
11563	VERB	scurdàrisi			scordare																								
11564	VERB	scurciari			scorticare																								
11565	VERB	sfurzari			sforzare	forzar																							
11566	VERB	granfari			graffiare									granfiari	sgrinfari	grinfari													
11567	VERB	grinfari			graffiare									granfiari	sgrinfari	granfari													
11568	VERB	sgrinfari			graffiare									granfiari	grinfari	granfari													
11569	VERB	spartìri			spartire									spàrtiri															
11570	VERB	spàrtiri			spartire									spartiri|spartìri															
11571	VERB	stutari			spegnere	spengere								assutari	astutari														
11572	VERB	spiducchiari			spidocchiare																								
11573	VERB	spiegari			spiegare									spiecari	spigari	schicari	spiacari												
11574	VERB	spigari			spiegare									spiecari	spiegari	schicari	spiacari												
11575	VERB	spiecari			spiegare									spiegari	spigari	schicari	spiacari												
11576	VERB	spiacari			spiegare									spiegari	spigari	schicari	spiecari												
11577	VERB	schicari			spiegare									spiecari	spiegari	spigari	spiacari												
11578	VERB	spilari			spelare																								
11579	VERB	spirari			sperare									sprari															
11580	VERB	sprari			sperare									spirari															
11581	VERB	starnutari			starnutare	starnutire																							
11582	VERB	trascinari			trascinare	trainare																							
11583	VERB	strascinari			strascinare	trainare																							
11584	VERB	struppiari			storpiare	rendere storpio	sciancare																						
11585	VERB	studiari			studiare									sturiari															
11586	VERB	sturiari			studiare									studiari															
11587	VERB	sucari			succhiare																								
11588	VERB	surrìdiri			sorridere																								
11589	VERB	tacìri			tacere									tàciri															
11590	VERB	tàciri			tacere									taciri															
11591	VERB	tatuari			tatuare																								
11592	VERB	tìnciri			tingere									tìngiri															
11593	VERB	tìngiri			tingere									tìnciri															
11594	VERB	tùnniri			tagliare	tosare																							
11595	VERB	tòrciri			torcere																								
11596	VERB	tradùciri			tradurre									trarùciri															
11597	VERB	trarùciri			tradurre									tradùciri															
11598	VERB	rùmpiri			rompere									rumpiri															
11599	VERB	rumpìri			rompere									rùmpiri															
11600	VERB	tuccari			toccare																								
11601	VERB	guadagnari			guadagnare									varagnari	vadagnari														
11602	VERB	vadagnari			guadagnare									varagnari	guadagnari														
11603	VERB	varagnari			guadagnare									vadagnari	guadagnari														
11604	VERB	valìri			valere																								
11605	VERB	avvantari			vantare									vantari	abbantari														
11606	VERB	vantari			vantare									avvantari	abbantari														
11607	VERB	abbantari			vantare									vantari	avvantari														
11608	VERB	vigghiari			vegliare									vigliari															
11609	VERB	vigliari			vegliare									vigghiari															
11610	VERB	vutari			voltare																								
11611	ADJ	aggrigatu	s	m	aggregato									aggricatu															
11612	ADJ	aggricatu	s	m	aggregato									aggrigatu															
11613	ADJ	nuiusu	s	m	noioso									nujusu															
11614	ADJ	nujusu	s	m	noioso									nuiusu															
11615	ADJ	arumàticu	s	m	aromatico																								
11616	ADJ	asciuttu	s	m	asciutto									sciuttu															
11617	ADJ	sciuttu	s	m	asciutto									asciuttu															
11618	ADJ	attivu	s	m	attivo																								
11619	ADJ	uditivu	s	m	uditivo																								
11620	ADJ	avaru	s	m	avaro																								
11621	ADJ	bedda	s	f	bella																								
11622	NOUN	bedda	s	f	bella ragazza																								
11623	ADJ	binvinutu	s	m	benvenuto									bimminutu	bemminutu	benvinutu													
11624	ADJ	benvinutu	s	m	benvenuto									bimminutu	bemminutu	binvinutu													
11625	ADJ	bimminutu	s	m	benvenuto									binvinutu	bemminutu	benvinutu													
11626	ADJ	bemminutu	s	m	benvenuto									binvinutu	bimminutu	benvinutu													
11627	ADJ	bomminutu	s	m	benvenuto									bonvinutu	bonuvinutu														
11628	ADJ	bonvinutu	s	m	benvenuto									bomminutu	bonuvinutu														
11629	ADJ	bonuvinutu	s	m	benvenuto									bomminutu	bonvinutu														
11630	ADJ	brunu	s	m	bruno																								
11631	ADJ	capiddutu	s	m	capelluto																								
11632	NOUN	fini	s	f	fine																								
11633	NOUN	jurnali	s	m	giornale									iurnali	ghiurnali	giurnali													
11634	NOUN	iurnali	s	m	giornale									jurnali	ghiurnali	giurnali													
11635	NOUN	giurnali	s	m	giornale									jurnali	ghiurnali	iurnali													
11636	NOUN	ghiurnali	s	m	giornale									jurnali	giurnali	iurnali													
11637	NOUN	millicucchi			bagolaro	lodogno	loto italico																						
11638	ADJ	arrivugghiutu	s	m	ribollito																								
11639	NOUN	abbragamentu	s	m	raucedine	arrochimento								abbraamentu															
11640	NOUN	lavuraturi	s	m	lavoratore																								
11641	NOUN	sfirucia	s	f	sfiducia									sfiducia	disfiducia														
11642	NOUN	abbìu	s	m	pastura									abbìa															
11643	NOUN	abbìa	s	f	pastura									abbìu															
11644	NOUN	abbìa	s	f	gabbiano									gàipa	càipa	àipa	àibba												
11645	NOUN	gaddorfu	s	m	galletto non bene castrato									adduorfu	gadduorfu	gadduffu	addorfu	iadduorfu	jadduorfu	jadduffu	iadduffu	adduffu							
11646	ADJ	quasolu	s	m	balzano									quazolu	causolu	fasolu													
11647	NOUN	ntircisatu	s	m	strato di calce e ghiaia fra il suolo e l'ammattonato									intircisatu															
11648	NOUN	jissotta	s	f	pezzo di gesso									issotta	jissottu	issottu													
11649	NOUN	jissottu	s	m	pezzo di gesso									issotta	jissotta	issottu													
11650	ADJ	tancilusu	s	m	delicato	di tatto	fine	insofferente	di salute cagionevole					trangilusu	langirusu	tangilusu													
11651	ADJ	abbisicchiatu	s	m	disseccato									bisicchiatu															
11652	VERB	bisicchiari			disseccare	risecchire								abbisicchiari															
11653	NOUN	gammozzi	p	m	raggi della ruota									jammozzi	iammozzi	ammozzi													
11654	ADJ	assitatu	s	m	assetato																								
11655	NOUN	catalettu	s	m	cataletto																								
11656	ADJ	viscardu	s	m	astuto	scaltro	fino							biscazzu	biscardu														
11657	NOUN	monsignuri	s	m	monsignore	messere								bonzignuri	munsignuri	munzignuri	bonsignuri	monzignuri											
11658	NOUN	bonzignuri	s	m	monsignore	messere								bonsignuri	munsignuri	munzignuri	monsignuri	monzignuri											
11659	NOUN	monzignuri	s	m	monsignore	messere								bonsignuri	munsignuri	munzignuri	monsignuri	bonzignuri											
11660	NOUN	munzignuri	s	m	monsignore	messere								bonsignuri	munsignuri	monzignuri	monsignuri	bonzignuri											
11661	NOUN	munsignuri	s	m	monsignore	messere								bonsignuri	munzignuri	monzignuri	monsignuri	bonzignuri											
11662	NOUN	brìndisi	s	m	brindisi									brìnchisi	brìnnisi														
11663	NOUN	arribbuccamentu	s	m	rimbocco																								
11664	VERB	rimari			rimare																								
11665	NOUN	risacca	s	f	risacca																								
11666	NOUN	ammascusu	s	m	bravaccio	spavaldo																							
11667	NOUN	muragghia	s	f	muraglia																								
11668	NOUN	arcu	s	m	arco																								
11669	VERB	annautari			innalzare									nnautari															
11670	NOUN	mimoria	s	f	memoria																								
11671	VERB	ndurari			indorare	dorare																							
11672	ADJ	ngratu	s	m	ingrato									angratu	ingratu														
11673	ADJ	ingratu	s	m	ingrato									angratu	ngratu														
11674	NOUN	vutti	s	f	botte									utti															
11675	NOUN	vutti	p	f	botti									utti															
11676	NOUN	utti	s	f	botte									vutti															
11677	NOUN	utti	p	f	botti									vutti															
11678	NOUN	filazzi	p	f	filaccia	sfilaccia								sfilazzi															
11679	NOUN	abbiggiariu	s	m	abigeo	ladro di bestiame								abbiggiaru															
11680	NOUN	chiacchiàra	s	f	pietraia	mucchio di pietre								chiarchiaru															
11681	NOUN	chiàcchiara	s	f	chiacchiera	ciarla																							
11682	NOUN	chiaveri	s	m	chiavaiolo																								
11683	NOUN	granciufudduni	s	m	sbaglio	abbaglio								cifudduni	grancifudduni														
11684	NOUN	cimbalaru	s	m	cembalaio									cimmalaru	cimmaloru														
11685	NOUN	cèmmalu	s	m	cembalo	clavicembalo								cèmbalu															
11686	NOUN	cèmbalu	s	m	cembalo	clavicembalo								cèmmalu															
11687	NOUN	ascia	s	f	ascia																								
11688	NOUN	pruvincia	s	f	provincia									pruvinza															
11689	NOUN	pruvinza	s	f	provincia									pruvincia															
11690	VERB	apprufittari			approfittare																								
11691	VERB	avvilinari			avvelenare									abbilinari															
11692	NOUN	arbacìa			albagia	alterigia	altezzosità							aracìa	avracìa														
11693	NOUN	arciuni	s	m	arcione																								
11694	NOUN	rastu	s	m	traccia	resto																							
11695	NOUN	arrammaggiu	s	m	arrembaggio	abbordaggio								arrimbaggiu	arrembaggiu														
11696	NOUN	arrimbaggiu	s	m	arrembaggio	abbordaggio								arrammaggiu	arrembaggiu														
11697	NOUN	arrembaggiu	s	m	arrembaggio	abbordaggio								arrammaggiu	arrimbaggiu														
11698	VERB	arrujari			tirare									arruiari															
11699	NOUN	gruppu	s	m	nodo	groppo								ruppu															
11700	NOUN	gruppu	s	m	gruppo																								
11701	NOUN	ruppu	s	m	nodo	groppo								gruppu															
11702	VERB	aggruppari			annodare									arruppari															
11703	VERB	arruppari			annodare									aggruppari															
11704	VERB	aggruppuliari			annodare									arruppuliari															
11705	ADJ	arsu	s	m	arso																								
11706	NOUN	sciloccu	s	m	scirocco									sciroccu															
11707	NOUN	sciroccu	s	m	scirocco									sciloccu															
11708	NOUN	siccumi	s	m	secchezza	seccume																							
11709	ADJ	tisu	s	m	teso																								
11710	NOUN	zàccanu	s	m	ovile	recinto dell'ovile	dove sostano le pecore prima di essere munte	zacchera																					
11711	NOUN	zàgara	s	f	zagara									zàjira	zàjara	zàiara													
11712	VERB	azzimmiddari			attirare uccelli con lo zimbello																								
11713	NOUN	zuccu	s	m	ceppo																								
11714	VERB	bammacariari			cianciare	chiacchierare								bambacariari															
11715	NOUN	bambacaru	s	m	chiacchierone									bammacaru															
11716	NOUN	bammacaru	s	m	chiacchierone									bambacaru															
11717	NOUN	vancunata	s	f	pancata									bancunata															
11718	NOUN	barbuttìu	s	m	borbottio									barbuttizzu															
11719	NOUN	bastaddu	s	m	bastardo									bastardu															
11720	NOUN	biletta	s	f	bietola									britta	bletta														
11721	ADJ	vìridi	s	m	verde									virdi															
11722	NOUN	buscusitati	s	f	astuzia									biscusitati															
11723	NOUN	documentu	s	m	documento									ducumentu															
11724	VERB	sbruffuliari			sbruffare									bruffuliari															
11725	VERB	sbruffari			sbruffare																								
11726	ADJ	chianu	s	m	piano																								
11727	NOUN	ciminu	s	m	cimino	comino								ciminàuru															
11728	VERB	culliari			collegare	legare								cullijari	colliari	culligari													
11729	VERB	cullijari			collegare	legare								culliari	colliari	culligari													
11730	VERB	culligari			collegare	legare								culliari	colliari	cullijari													
11731	VERB	cuniugari			coniugare									coniugari	conjugari	cognugari	cunjugari	cugnugari											
11732	NOUN	lanza	s	f	lancia																								
11733	NOUN	lardu	s	m	lardo																								
11734	NOUN	dannu	s	m	danno																								
11735	VERB	mprisuttari			improsciuttire	improsciuttarsi	divenire secco																						
11736	NOUN	modu	s	m	modo																								
11737	NOUN	buccetta	s	f	forchetta f									burcetta	bruccetta														
11738	NOUN	furchetta	s	f	forchetta f																								
11739	NOUN	pinnacchiu	s	m	pennacchio																								
11740	ADJ	gnuminiusu	s	m	ignominioso																								
11741	NOUN	chìmica	s	f	chimica																								
11742	ADJ	cullabburativu	s	m	collaborativo									cullaburativu															
11743	ADJ	cullaburativu	s	m	collaborativo									cullabburativu															
11744	NOUN	cosmoluggìa	s	f	cosmologia																								
11745	ADJ	famusu	s	m	famoso																								
11746	NOUN	erruri	s	m	errore									arruri															
11747	NOUN	arruri	s	m	errore									erruri															
11748	NOUN	mustu	s	m	mosto																								
11749	NOUN	matassaru	s	m	naspo	aspo	arcolaio																						
11750	NOUN	cunnuttu	s	m	condotto	tubo																							
11751	ADJ	denzu	s	m	denso									densu															
11752	ADJ	densu	s	m	denso									denzu															
11753	VERB	grignari			digrignare									ngrignari	sgrignari														
11754	VERB	sgrignari			digrignare									ngrignari	grignari														
11755	NOUN	nnipinnenza	s	f	indipendenza									nnipinnenzia															
11756	NOUN	nuvena	s	f	novena									nuena															
11757	NOUN	taiu	s	m	fango									taju															
11758	ADJ	ntirissanti	s	m	interessante																								
11759	ADJ	intiriuri	s	m	interiore									ntiriuri															
11760	ADJ	estiriuri	s	m	esteriore									stiriuri															
11761	ADJ	stiriuri	s	m	esteriore									estiriuri															
11762	ADJ	esternu	s	m	esterno									sternu															
11763	ADJ	sternu	s	m	esterno									esternu															
11764	NOUN	tirruri	s	m	terrore																								
11765	NOUN	ntrèppiti	s	m	interprete	interpetre								ntèrpriti															
11766	VERB	ntirpritari			interpretare									ntrippitari															
11767	ADJ	fimminiscu	s	m	da donna																								
11768	VERB	parmiari			misurare a palmo									palmiari															
11769	NOUN	piccentu	s	m	percento									pircentu															
11770	NOUN	prifirenza	s	f	preferenza									prifirenzia															
11771	NOUN	càmmara	s	f	camera da letto	stanza da dormire																							
11772	ADJ	principali	s	m	principal																								
11773	ADJ	puntigghiusu	s	m	accurato	puntiglioso								puntigliusu															
11774	ADJ	puntigliusu	s	m	accurato	puntiglioso								puntigghiusu															
11775	VERB	cinzurari			censurare									cinsurari															
11776	VERB	cinsurari			censurare									cinzurari															
11777	NOUN	cinzura	s	f	censura									cinsura															
11778	NOUN	cinsura	s	f	censura									cinzura															
11779	ADJ	tècnicu	s	m	tecnico	tennico																							
11780	ADJ	sò	s	m/f	suo	sua																							
11781	ADJ	sò	p	m/f	suoi	sue																							
11782	PRON	sò	s	m/f	suo	sua																							
11783	PRON	sò	p	m/f	suoi	sue																							
11784	ADV	dintra			dentro									intra	ntra														
11785	NOUN	pìcculu	s	m	piccolo di animale	piccino di animale																							
11786	VERB	curcàrisi			coricarsi																								
11787	NOUN	calessi	s	f	calesse																								
11788	NOUN	friggiu	s	m	fregio									freggiu	frigiu	fregiu	friciu												
11789	NOUN	frigiu	s	m	fregio									fregiu	friggiu	freggiu	friciu												
11790	NOUN	friciu	s	m	fregio									freggiu	friggiu	fregiu	frigiu												
11791	NOUN	freggiu	s	m	fregio									friggiu	fregiu	frigiu	friciu												
11792	NOUN	fregiu	s	m	fregio									frigiu	freggiu	friggiu	friciu												
11793	NOUN	daga	s	f	daga																								
11794	NOUN	putaggiu	s	m	zuppa	potaggio								pitaggiu	pitagghiu														
11795	NOUN	chiricupa	p	f	albicoccche									chiricopu	cricopa	pircopu	cricropa	triccuopa											
11796	NOUN	chiricupa	p	f	albicocche									chiricopa	pircopa														
11797	NOUN	vaccareddu	s	m	chiocciola	lumaca																							
11798	NOUN	curveddu	s	m	ombrina	corbello	corvello	crovello						curbeddu	cruveddu														
11799	NOUN	viluppu	s	m	involto																								
11800	NOUN	giuiellu	s	m	gioiello																								
11801	NOUN	porru	s	m	porro																								
11802	NOUN	mmuccu	s	m	imbocco	imboccatura								mmucca															
11803	NOUN	nuleggiu	s	m	noleggio																								
11804	NOUN	rèpitu	s	m	gemito									arrèpitu															
11805	ADJ	inversu	s	m	inverso									nversu	mmersu														
11806	ADJ	nversu	s	m	inverso									inversu	mmersu														
11807	ADJ	mmersu	s	m	inverso									inversu	nversu														
11808	ADJ	transitivu	s	m	transitivo									tranzitivu															
11809	VERB	scripintari			crepare	fendersi								cripintari															
11810	VERB	cripari			crepare																								
11811	ADJ	abbicchiarinatu	s	m	invecchiaticcio	con viso da vecchio								abbicchiarrinatu	abbicchiarrunutu														
11812	NOUN	crisòmmulu	s	m	albicocca									crisùmmulu	crisòmmula	crisuòmbulu													
11813	ADJ	orgugghiusu	s	m	orgoglioso									orgugliusu															
11814	ADJ	orgugliusu	s	m	orgoglioso									orgugghiusu															
11815	NOUN	orgogghiu	s	m	orgoglio									orgogliu															
11816	NOUN	orgogliu	s	m	orgoglio									orgogghiu															
11817	NOUN	nucilla	s	f	nocciuola									nucidda	nuscidda														
11818	NOUN	laparu	s	m	apicoltore									aparu															
11819	NOUN	aparu	s	m	apicoltore									laparu															
11820	NOUN	filazza	s	f	filaccia	sfilaccia								sfilazza															
11821	NOUN	aricchinu	s	m	orecchino									ricchina	aricchina														
11822	NOUN	caràmmula	s	f	fenditura	spaccatura								garàmmula															
11823	NOUN	caràmmuli	p	f	fenditure	spaccature								garàmmuli															
11824	NOUN	cavaleri	s	m	cavaliere																								
11825	NOUN	cavaleri	p	m	cavalieri																								
11826	ADJ	terrìbbuli	s	m	terribile									tirrìbili	tirrìbbili	tirrìbuli	tirrìbbuli	terrìbuli											
11827	ADJ	terrìbuli	s	m	terribile									tirrìbili	tirrìbbili	tirrìbuli	tirrìbbuli	terrìbbuli											
11828	ADJ	fimminili	s	m	femminile																								
11829	NOUN	plurali	s	m	plurale																								
11830	NOUN	singulari	s	m	singolare																								
11831	NOUN	cannarozzi	p	m	canna della gola	gorgia								cannarozza															
11832	NOUN	cannarozza	p	m	canna della gola	gorgia								cannarozzi															
11833	NOUN	cannarinu			canna della gola	gorgia																							
11834	NOUN	funnarigghiu	s	m	fondiglio																								
11835	ADJ	fimmininu	s	m	femminino	femminile																							
11836	ADJ	masculinu	s	m	mascolino	maschile																							
11837	NOUN	francupruvinzali	s	m	lingua  francoprovenzale	arpitano	lingua arpitana							arpitanu															
11838	ADV	uremma			pure	parimenti								midemma	videmma	videmmi	midemmi	midè	mirè	vidè	virè	viremma	miremma						
11839	NOUN	salifiziu	s	m	specie di scorpione									salifizziu	suffriziu	suffrizziu	schiribizziu	schiribiziu	sulufrizzu										
11840	NOUN	grara	s	f	cancello									grada															
11841	ADV	ntonzi			allora									ntonsi															
11842	NOUN	verru	s	m	verro	verre	porco																						
11843	NOUN	zammù	s	m	anice																								
11844	NOUN	amenta	s	f	menta																								
11845	NOUN	salaguni	s	m	salice																								
11846	ADV	ntonsi			allora									ntonzi															
11847	NOUN	ancuni	s	m	gomito																								
11848	NOUN	taccia	s	f	chiodo																								
11849	NOUN	pipiu	s	m	tacchina																								
11850	VERB	sfardari			strappare																								
11851	NOUN	gastimma	s	f	imprecazione	maledizione								gastima	jastima	gastema	iastima												
11852	NOUN	spicchiu	s	m	spicchio																								
11853	VERB	scantari			spaventare	spaurire																							
11854	VERB	scaminari			cercare	rovistare																							
11855	NOUN	cafittera	s	f	caffettiera																								
11856	ADJ	prijatu	s	m	contento/a	che gode qualcosa	felice	pieno/a di sè						priatu															
11857	ADJ	blu	s	m	blu									bru															
11858	NOUN	carota	s	f	carota																								
11859	ADJ	china	s	f	piena																								
11860	NOUN	china	s	f	piena																								
11861	NOUN	tina	s	f	tina	tino								tinu															
11862	ADV	a ddì ddì			a spasso									diddì	addiddì	ddaddà													
11863	ADJ	accarièmicu	s	m	accademico									accadèmicu															
11864	NOUN	polirrimàtica	s	f	polirematica									polirimàtica															
11865	NOUN	suciu	s	m	soffio									susciu	suçiu	sciusciu	çiuçiu	ciuciu											
11866	NOUN	suçiu	s	m	soffio									susciu	suciu	sciusciu	çiuçiu	ciuciu											
11867	NOUN	susciu	s	m	soffio									suciu	suçiu	sciusciu	çiuçiu	ciuciu											
11868	VERB	suciari			soffiare									susciari	sciusciari	ciuciari	ciusciari												
11869	VERB	susciari			soffiare									suciari	sciusciari	ciuciari	ciusciari												
11870	NOUN	viulenzia	s	f	violenza									viulenza															
11871	NOUN	nnipinnenzia	s	f	indipendenza									nnipinnenza															
11872	NOUN	sintenzia	s	f	aforismo									sintenza															
11873	NOUN	prifirenzia	s	f	preferenza									prifirenza															
11874	ADJ	accadèmicu	s	m	accademico									accarièmicu															
11875	NOUN	polirimàtica	s	f	polirematica									polirrimàtica															
11876	NOUN	nachitizzonna	s	f	dondolamento																								
11877	VERB	scaliari			frugare	cercare								scalijari															
11878	NOUN	priescia	s	f	fretta	premura								prescia															
11879	NOUN	sacchetta	s	f	tasca																								
11880	NOUN	cufi	p		lombagini									gufi															
11881	NOUN	gufi	p		lombagini									cufi															
11882	NOUN	cullezzioni	s	f	collezione									cullizzioni	cullizioni	cullezioni													
11883	NOUN	cullezioni	s	f	collezione									cullizzioni	cullizioni	cullezzioni													
11884	NOUN	cullizzioni	s	f	collezione									cullezzioni	cullizioni	cullezioni													
11885	NOUN	cullizioni	s	f	collezione									cullezzioni	cullizzioni	cullezioni													
11886	NOUN	coordinazzioni	s	f	coordinazione																								
11887	NOUN	lèssicu	s	m	lessico																								
11888	NOUN	navigazzioni	s	f	navigazione									navigazioni	navicazzioni	navicazioni													
11889	NOUN	navicazzioni	s	f	navigazione									navigazioni	navigazzioni	navicazioni													
11890	NOUN	navigazioni	s	f	navigazione									navigazzioni	navicazzioni	navicazioni													
11891	NOUN	navicazioni	s	f	navigazione									navigazzioni	navicazzioni	navigazioni													
11892	ADJ	riparatu			riparato																								
11893	PROPN	Birnardu	s	m	Bernardo																								
11894	PROPN	Quarèsima	s	f	Quaresima																								
11895	PROPN	Martinu	s	m	Martino																								
11896	PROPN	Micheli	s	m	Michele																								
11897	NOUN	addaurufogghiu	s	m	agrifoglio	aquifoglio	alloro spinoso																						
11898	NOUN	caddurizza	s	f	bacca del cipresso	coccola del cipresso								caddaredda															
11899	NOUN	chiàsima	s	f	ruggine delle piante	delle biade								chiasma															
11900	NOUN	cummìa	s	f	fascia									chiummìa															
11901	NOUN	cilìu	s	m	fior di farina per biancheggiare la tela																								
11902	NOUN	dàrdaru	s	m	frassino ornello									dàrdanu															
11903	NOUN	liscìa	s	f	lisciva									ddiscìa															
11904	VERB	dubbitari			dubitare									dubitari															
11905	ADJ	fàrfanu	s	m	astuto									fàrfaru															
11906	NOUN	villittuni	s	m	pollone									filittuni	millittuni														
11907	NOUN	ferba	s	f	felpa									felba															
11908	NOUN	felba	s	f	felpa									ferba															
11909	NOUN	fraca	s	f	pantalone	braca								vraca	braca														
11910	ADJ	fraca			debole									fraga															
11911	VERB	fiscari			fischiare	zufolare	cigolare							friscari	frisciari														
11912	ADJ	frisignu	s	m	mingherlino	gracile								frisingu															
11913	ADJ	siringu	s	m	mingherlino	gracile								sirignu															
11914	ADJ	sirignu	s	m	mingherlino	gracile								siringu															
11915	NOUN	fruviata	s	f	breve soffio di vento																								
11916	NOUN	fuianu	s	m	allocco	barbagianni	gufo							fuanu	fuganu	fujanu													
11917	NOUN	fujanu	s	m	allocco	barbagianni	gufo							fuanu	fuganu	fuianu													
11918	ADJ	garìbbuli			smaglianti																								
11919	NOUN	gentiligadda	s	f	bettonica									gentigadda															
11920	NOUN	ghìngalu	s	m	arcolaio									ghìndalu															
11921	NOUN	gilebba	s	f	anello di ferro o di pietra per legare le giumente									gibbedda	giubbedda	gillebba													
11922	NOUN	cilona	s	f	tartaruga	celone	cilone	celona						gilona															
11923	ADJ	girguniscu	s	m	gergonesco									girbuniscu															
11924	NOUN	jestra	s	f	frega della cagna	calore della cagna								iestra	estru														
11925	NOUN	iestra	s	f	frega della cagna	calore della cagna								jestra	estru														
11926	NOUN	gnestu	s	m	lamento																								
11927	ADJ	gnistusu	s	m	viziato	lezioso	sdolcinato	smorfioso	di persona difficile da contentare	dai gusti difficili				gnustusu	ngistusu														
11928	ADJ	gnustusu	s	m	viziato	lezioso	sdolcinato	smorfioso	di persona difficile da contentare	dai gusti difficili				gnistusu	ngistusu														
11929	ADJ	ngistusu	s	m	viziato	lezioso	sdolcinato	smorfioso	di persona difficile da contentare	dai gusti difficili				gnustusu	gnistusu														
11930	NOUN	angustia	s	m	angustia angoscia									ngustia															
11931	NOUN	ngustia	s	m	angustia angoscia									angustia															
11932	ADJ	angustiusu	s	m	angustiato angosciato									ngustiusu															
11933	ADJ	ngustiusu	s	m	angustiato angosciato									angustiusu															
11934	VERB	nginucchiàrisi			inginocchiarsi									gnucchiari															
11935	ADJ	inziringanti	s	f	si dice di voce	acuta e trillante								nsiringanti	nziringanti	insiringanti													
11936	ADJ	nziringanti	s	f	si dice di voce	acuta e trillante								insiringanti	nsiringanti	inziringanti													
11937	VERB	ntrimulari			affogare nella melma									intrimulari															
11938	NOUN	jissara	s	f	gessaia	cava di gesso								issara	ghissara														
11939	NOUN	ghissara	s	f	gessaia	cava di gesso								issara	jissara														
11940	NOUN	jucaloru	s	m	articolazione	congiuntura delle ossa	snodo delle vertebre	giuntura di due parti dello stesso arto						iucaloru															
11941	NOUN	juva	s		grido	clamore								iuva															
11942	NOUN	landuni	s	m	bastone usato invece di catena per legarvi i cani									lannuni															
11943	NOUN	làntana	s	m	viburno									làntanu															
11944	ADJ	allapiatu	s	m	famelico									allapatu															
11945	ADJ	allapatu	s	m	famelico									allapiatu															
11946	NOUN	titimalu			titimaglio	titimalo																							
11947	NOUN	lagornia	s	f	falco pecchiaiolo									lavornia	lafornia														
11948	NOUN	lafornia	s	f	falco pecchiaiolo									lavornia	lagornia														
11949	NOUN	orra	s	m	falco pecchiaiolo									ornu	orru														
11950	NOUN	lìcuru	s	m	un tipo di uccello																								
11951	NOUN	littori	s	m	seconda muta del baco da seta	seconda spoglia del baco da seta								litteri															
11952	NOUN	triti	s	f	terza muta del baco da seta	terza spoglia del baco da seta								trita															
11953	NOUN	trita	s	f	terza muta del baco da seta	terza spoglia del baco da seta								triti															
11954	NOUN	putrigghiuni	s	m	prima muta del baco da seta	prima spoglia del baco da seta																							
11955	NOUN	biancuzzu	s	m	fase che precede il putrigghiuni																								
11956	NOUN	macaruru	s	m	luogo di riunione per conversazioni o passatempi									magaduru	macaduru														
11957	NOUN	muzzina	s	f	razza	specie	carattere	natura																					
11958	NOUN	malupirtusu	s	m	vento di libeccio																								
11959	NOUN	manciuglia	s	m	guadagno	mancia	bustarella data per ottenere un favore	mangeria						manciugghia	mancigghia														
11960	NOUN	mancigghia	s	m	guadagno	mancia	bustarella data per ottenere un favore							manciuglia	manciugghia														
11961	VERB	marammiàrisi			darsi da fare	muoversi per ottenere qualcosa																							
11962	NOUN	màrdinu	s	m	piastrella che si innesta nel fuso per farlo girare meglio	fusaiolo	fusaiola							màrdanu															
